location,y,x,locationType,,,
Kouagna,-2.244322,11.557079,Rural,,,
Dibouka,-1.308927,12.239579,Rural,,,
Nkawkaw,6.551904,-0.765351,Rural,,,
Atibie,6.58557,-0.734384,Rural,,,
Obo,6.608049,-0.775479,Rural,,,
Takorowatwen,6.910877,-0.415914,Rural,,,
Airmadidi,1.425699,124.979969,Rural,,,
Kawangkoan,1.202232,124.789128,Rural,,,
Langowan,1.126428,124.807735,Rural,,,
Amurang,1.160364,124.583735,Rural,,,
Motoling,1.040058,124.476236,Rural,,,
Walikale,-1.429291,28.075301,Rural,,,
Kole,-3.460655,22.442587,Rural,,,
Monkoto,-1.655754,20.738728,Rural,,,
Malebo,-2.456119,16.483076,Rural,,,
Jandege,-1.960596,34.270314,Rural,,,
Mugeta,-1.935022,34.204212,Rural,,,
Tingirima village,-1.929506,34.281223,Rural,,,
Bukore,-2.050331,33.955505,Rural,,,
Hunyari,-1.984167,34.081614,Rural,,,
Bituruguru,-1.951682,33.851208,Rural,,,
Mihingo,-1.874483,34.209756,Rural,,,
Yokadouma,3.516547,15.051312,Rural,,,
Chico,-9.851826,14.037709,Rural,,,
Mumbondo,-10.198155,14.121231,Rural,,,
Caboledo,-9.653463,13.244789,Rural,,,
keibly,5.999434,-7.474179,Rural,,,
Zaibobly,5.956313,-7.475936,Rural,,,
Gahabaly,5.941161,-7.475499,Rural,,,
Ponnan,5.894608,-7.478231,Rural,,,
Tai,5.87262,-7.455381,Rural,,,
Gouleako,5.835763,-7.410581,Rural,,,
Pauléoula,5.82114,-7.401822,Rural,,,
Sipaliwini,2.025516,-56.125098,Rural,,,
Wayapi,2.256964,-52.873637,Rural,,,
Alvarães,-3.213708,-64.809998,Rural,,,
Maraa,-1.858562,-65.590755,Rural,,,
Fonte Boa,-2.515533,-66.094967,Rural,,,
Phonsavan,19.448832,103.188034,Rural,,,
Lak So,18.192672,104.970375,Rural,,,
Salavanh,15.712661,106.404315,Rural,,,
Quitoque,-7.842346,15.02947,Rural,,,
Bamba,-7.69811,14.986185,Rural,,,
Quitexe,-7.944011,15.042087,Rural,,,
Nova Caipemba,-7.442483,14.645199,Rural,,,
Damba,-6.693805,15.13946,Rural,,,
Attogon,6.726439,2.16258,Rural,,,
Sekou,6.635622,2.223054,Rural,,,
Hoima,1.433695,31.351032,Rural,,,
Mpanga,0.083186,30.383409,Rural,,,
Ibamba,1.430348,31.418011,Rural,,,
Águas Belas,-9.113015,-37.119201,Rural,,,
Djoum,2.670941,12.680926,Rural,,,
Niefang,1.851817,10.251231,Rural,,,
Añisoc,1.843482,10.746284,Rural,,,
Micomeseng,2.128326,10.735059,Rural,,,
Evinayong,1.436483,10.571186,Rural,,,
Aconibe,1.296534,10.945387,Rural,,,
Cogo,1.083311,9.695606,Rural,,,
Acurenam,1.034332,10.671759,Rural,,,
Maroantsetra,-15.343084,49.947758,Rural,,,
Kimanjo,0.475703,37.011115,Rural,,,
Homalin,24.874943,94.930929,Rural,,,
Hkamti,25.999109,95.694094,Rural,,,
Santa Luzia,-6.870884,-36.924037,Rural,,,
São Mamede,-6.935574,-37.095628,Rural,,,
São José do Sabugi,-6.775455,-36.797555,Rural,,,
Várzea,-6.770425,-36.989445,Rural,,,
Pompeya,-0.444589,-76.624978,Rural,,,
Guiyero,-0.610371,-76.467567,Rural,,,
Lola,7.798082,-8.529628,Rural,,,
Gonota-Gbozou,8.028318,-8.185651,Rural,,,
Sayota,8.096542,-8.068996,Rural,,,
Yekepa,7.577435,-8.534918,Rural,,,
Gharpa,7.48408,-8.61301,Rural,,,
Makakou,-0.194888,12.201233,Rural,,,
Mvomenzogh,0.750965,9.832225,Rural,,,
Médégué,0.615165,10.11536,Rural,,,
Okan,0.685307,10.035478,Rural,,,
Akonétchié,2.668345,12.862437,Rural,,,
Robertsport,6.753931,-11.367213,Rural,,,
Gbanga,7.000122,-9.466438,Rural,,,
Greenville,5.01934,-9.04016,Rural,,,
Harper,4.380387,-7.703476,Rural,,,
Tapeta,6.492605,-8.861193,Rural,,,
Zwedru,6.065736,-8.135699,Rural,,,
Yangambi,0.803969,24.456756,Rural,,,
Laoma,7.546057,-11.030172,Rural,,,
Faiama,7.525636,-10.998187,Rural,,,
Badlahun,7.554656,-10.987616,Rural,,,
