"Species","pa","X","Y","acc_50k","all_mammals","bushmeat","def_1k","pop_d","ppt_m","proximity_raster_wdpa","tmin_m"
"rural locations",1,-70.029919,-4.375689,1012.71997070312,172.924850463867,3.16934609413147,2.10130095481873,752.414245605469,229.25,0.0159708969295025,207.91667175293
"rural locations",1,-37.119201,-9.113015,65.3199996948242,129.059707641602,0,0.152004525065422,859.881408691406,57.8333320617676,0,179
"rural locations",1,13.244789,-9.653463,224.727279663086,37.7619590759277,0.845844447612762,0.0026323446072638,14.7998294830322,53.75,0.00888342782855034,210.08332824707
"rural locations",1,10.279337,2.786799,141.919998168945,130.003494262695,6,0.938618421554565,0,201.66667175293,0.041513230651617,217.75
"rural locations",1,32.33302,-27.600297,686.200012207031,107.604873657227,0,0.202116891741753,81.8236618041992,61,0.0137412399053574,162.33332824707
"rural locations",1,124.531258,0.927404,266.679992675781,69,3,2.59600520133972,22.987247467041,183.66667175293,0.0939204543828964,194.58332824707
"rural locations",1,14.435742,-8.533614,204.720001220703,74,1,5.20829820632935,59.6358261108398,81.75,1.04304444789886,189.91667175293
"rural locations",1,2.04164,6.677948,118.959999084473,95,0,0.811813414096832,16.3487491607666,81.5833358764648,0.183144420385361,232.33332824707
"rural locations",1,31.418011,1.430348,222.399993896484,152.11198425293,2,0.752461671829224,0,114.166664123535,0.0138133410364389,165
"rural locations",1,29.864909,-29.012754,65.879997253418,85.530143737793,1,0.0393725447356701,262.240600585938,64.4166641235352,0.0288011506199837,90.8333358764648
"rural locations",1,-72.001669,-4.389044,2112.84008789062,179.871276855469,4,0.000762634444981813,0,217,0.59420257806778,211.25
"rural locations",1,-7.475936,5.956313,282.040008544922,133.352630615234,7,1.25082409381866,165.041351318359,148.66667175293,0.0571375079452991,212.08332824707
"rural locations",1,26.618051,-2.565587,239.800003051758,105,4,5.74046468734741,608.215942382812,174.58332824707,1.01036298274994,189.83332824707
"rural locations",1,36.218634,-8.180105,130.759994506836,129.601104736328,0,0.924599230289459,376.837768554688,125.166664123535,0.026441989466548,214.41667175293
"rural locations",1,29.46649,4.91472,129.639999389648,104.439651489258,1,0.541649222373962,774.945251464844,120.333335876465,0.153660207986832,182.83332824707
"rural locations",1,-76.467567,-0.610371,1290.11999511719,177.750427246094,0,0.23469614982605,0,263.166656494141,0,202.16667175293
"rural locations",1,124.789128,1.202232,145.520004272461,73,3,0.126459673047066,964.733154296875,191.41667175293,0.166975259780884,180.75
"rural locations",1,15.215864,2.044456,666.679992675781,139.370559692383,6,0.907580375671387,326.563171386719,128.66667175293,0.107367947697639,200.66667175293
"rural locations",1,104.884986,19.048526,147.320007324219,107.083396911621,3.06871128082275,4.36297082901001,220.774383544922,125.916664123535,0,202.83332824707
"rural locations",1,36.926873,-7.738498,71.6800003051758,135.382431030273,0,0.25704824924469,243.806503295898,124.25,0.0140130007639527,209.33332824707
"rural locations",1,14.037709,-9.851826,192.880004882812,70.2220230102539,1,0.314449429512024,0,62.3333320617676,0.0473857671022415,205.41667175293
"rural locations",1,-36.797555,-6.775455,56.7599983215332,118.082191467285,0,0.0100317383185029,113.806205749512,48.1666679382324,0.461504220962524,208.58332824707
"rural locations",1,120.310432,15.948691,39.2000007629395,11,1,0.00504542049020529,891.613708496094,177.66667175293,0.204634606838226,229.41667175293
"rural locations",1,14.803875,-8.288952,265.799987792969,79.3049774169922,1,4.36751461029053,114.52906036377,77.25,1.48492980003357,181.41667175293
"rural locations",1,34.081614,-1.984167,349.200012207031,132.40478515625,0,0.0742921754717827,14.3391561508179,80.25,0.0615830831229687,167.91667175293
"rural locations",1,16.086066,2.039679,2936.63989257812,135.053573608398,7,0.0571944676339626,12.9696846008301,137.83332824707,0,195.5
"rural locations",1,28.993143,-30.894669,77.1600036621094,64.0079116821289,0,0.196814894676208,645.366943359375,70.75,0.366950809955597,99.4166641235352
"rural locations",1,30.460104,0.615197,78.5999984741211,164.03825378418,2.56431126594543,1.04846405982971,121.740531921387,112.666664123535,0.0209120772778988,139.08332824707
"rural locations",1,11.552446,4.075872,45.9599990844727,148.305679321289,7,2.96324968338013,80.9247817993164,136.16667175293,0.419821500778198,197.83332824707
"rural locations",1,124.979969,1.425699,85.4400024414062,71.9985046386719,3,1.47984647750854,960.639831542969,220.5,0.167130619287491,204.16667175293
"rural locations",1,-11.030172,7.546057,121.23999786377,114.767280578613,6,4.69656419754028,2.95413136482239,225.5,0.0285139139741659,210.58332824707
"rural locations",1,9.832225,0.750965,126.76000213623,108.894416809082,6,0.0176702216267586,0,234.5,0.195952638983727,219.08332824707
"rural locations",1,25.529651,0.19711,77.7600021362305,112.502487182617,5.3052191734314,3.69559240341187,1218.95739746094,149.08332824707,0.705484449863434,202.41667175293
"rural locations",1,10.035478,0.685307,376.480010986328,110,6,0.0346866026520729,0,218.16667175293,0.0726121962070465,220
"rural locations",1,96.71822,17.952833,10.1999998092651,69.6374588012695,1,0.0028589884750545,3055.89111328125,275.083343505859,0.366375386714935,216.66667175293
"rural locations",1,-52.873637,2.256964,4597.47998046875,157.843521118164,3,0.533581256866455,0.115750685334206,198.25,0.00133333343546838,210.16667175293
"rural locations",1,-71.827044,-4.489159,2037.40002441406,178.930297851562,3.99961543083191,0.00510165700688958,0,212.83332824707,0.376755207777023,212
"rural locations",1,15.051312,3.516547,391.279998779297,130.085235595703,6,2.26683068275452,2602.40698242188,131.5,0.57501208782196,186.16667175293
"rural locations",1,123.177813,10.714156,324.920013427734,39.6291046142578,1.91272854804993,0.193061143159866,79.6348724365234,193.08332824707,0.178536921739578,206.91667175293
"rural locations",1,24.456756,0.803969,140.679992675781,119.559768676758,3,4.22748041152954,283.378509521484,147.25,0.0100970892235637,196.75
"rural locations",1,15.13946,-6.693805,399.720001220703,76,1,0.218174397945404,659.523681640625,102.5,1.92359256744385,164.33332824707
