"Species","pa","X","Y","acc_50k","all_mammals","bushmeat","def_1k","pop_d","ppt_m","proximity_raster_wdpa","tmin_m"
"rural locations",1,-10.97207,7.684742,190.440002441406,117.597923278809,6,4.76239585876465,0.0236280579119921,221.58332824707,0.0188372749835253,206.25
"rural locations",1,-5.786716,5.116544,585.280029296875,112.634674072266,4,3.74656105041504,147.334228515625,135.33332824707,0.0611086897552013,225
"rural locations",1,12.862437,2.668345,338.559997558594,147.14518737793,7,0.663580775260925,6.06577587127686,136,0.19275164604187,184.33332824707
"rural locations",1,34.281223,-1.929506,322.519989013672,134.930191040039,0,0.256986558437347,0.0798002481460571,79.25,0.110245101153851,165.75
"rural locations",1,2.16258,6.726439,120.040000915527,97,0,2.36503100395203,346.986175537109,89.0833358764648,0.125558376312256,226.16667175293
"rural locations",1,10.571186,1.436483,151.160003662109,117.965255737305,6,3.35895323753357,895.687194824219,202.33332824707,0.167082980275154,176.16667175293
"rural locations",1,14.435742,-8.533614,204.720001220703,74,1,5.20829820632935,59.6358261108398,81.75,1.04304444789886,189.91667175293
"rural locations",1,96.995423,27.194711,400.079986572266,83.6809387207031,7.04289770126343,0.185974359512329,6.51687860488892,248.33332824707,0.0389002151787281,120.75
"rural locations",1,104.020981,20.427384,364,115.086090087891,3,2.40697002410889,230.572158813477,113.583335876465,0.406799852848053,147.25
"rural locations",1,31.549329,1.676031,302.720001220703,156.284698486328,2,0.575278699398041,71.9241333007812,114.5,0.00590492598712444,170
"rural locations",1,29.864909,-29.012754,65.879997253418,85.530143737793,1,0.0393725447356701,262.240600585938,64.4166641235352,0.0288011506199837,90.8333358764648
"rural locations",1,34.270314,-1.960596,371.239990234375,137.802886962891,0,0.232734262943268,20.0871849060059,76.3333358764648,0.0696494653820992,169.08332824707
"rural locations",1,16.086066,2.039679,2936.63989257812,135.053573608398,7,0.0571944676339626,12.9696846008301,137.83332824707,0,195.5
"rural locations",1,23.784527,2.739871,230.360000610352,133.014373779297,6,4.04183197021484,2768.65795898438,138.58332824707,0.928066968917847,201.33332824707
"rural locations",1,125.035149,12.343112,394.040008544922,17,0,0.0864905267953873,449.134613037109,277.5,0.527836263179779,228.75
